video,sim_online,sim_retrospective,sim_lesioned,sim_NN_input
53,NaN,0.5666666666666665,0.4125,0.17261904761904762
54,NaN,0.75,0.8,0.1366666666666667
55,NaN,0.15,0.3,0.16000000000000003
56,NaN,0.425,0.1,0.33
57,NaN,0.6499999999999999,0.65,0.09833333333333334
58,NaN,0.0,0.0,0.06333333333333332
59,NaN,0.12,0.15416666666666667,0.14976190476190473
60,NaN,0.0,0.0,0.0125
61,NaN,0.35833333333333334,0.15,0.18250000000000005
62,NaN,0.2916666666666667,0.5416666666666666,0.3104761904761904
63,NaN,0.75,0.525,0.2783333333333333
64,NaN,0.45,0.55,0.24000000000000005
65,NaN,0.1375,0.225,0.13
66,NaN,0.30416666666666664,0.4708333333333334,0.27428571428571435
67,NaN,0.625,0.625,0.27083333333333337
68,NaN,0.85,0.9,0.27999999999999997
69,NaN,0.0,0.0,0.21000000000000002
70,NaN,0.7041666666666666,0.4708333333333332,0.26
71,NaN,0.6083333333333332,0.8333333333333334,0.3066666666666667
72,NaN,0.9041666666666668,0.7583333333333335,0.1916666666666666
73,NaN,0.4458333333333334,0.3983333333333334,0.3783333333333333
74,NaN,0.6333333333333331,0.5999999999999999,0.32166666666666677
75,NaN,0.225,0.41666666666666663,0.07380952380952381
76,NaN,0.3783333333333333,0.4033333333333333,0.19738095238095238
77,NaN,0.5750000000000001,0.5083333333333334,0.2454761904761905
78,NaN,0.49166666666666686,0.5166666666666666,0.14142857142857143
79,NaN,0.4625,0.3516666666666668,0.28547619047619044
80,NaN,0.4583333333333332,0.8,0.17666666666666672
81,NaN,0.3,0.1,0.03833333333333334
82,NaN,0.18416666666666673,0.21250000000000005,0.18690476190476185
83,NaN,0.38333333333333336,0.3416666666666667,0.1983333333333333
84,NaN,0.675,0.5666666666666667,0.13500000000000004
85,NaN,0.21666666666666665,0.21666666666666665,0.08809523809523809
86,NaN,0.7749999999999999,0.9416666666666667,0.22761904761904767
87,NaN,0.125,0.15,0.17583333333333334
88,NaN,0.2833333333333333,0.375,0.14833333333333332
89,NaN,0.5,0.625,0.12833333333333333
90,NaN,0.2666666666666667,0.8,0.24
91,NaN,0.18416666666666667,0.14166666666666666,0.10392857142857141
92,NaN,0.4,0.25,0.32999999999999996
93,NaN,1.0,1.0,0.18000000000000005
94,NaN,0.5558333333333334,0.6100000000000001,0.40999999999999986
95,NaN,0.5166666666666668,0.34583333333333327,0.2516666666666667
96,NaN,0.375,0.325,0.16
97,NaN,0.0,0.0,0.15
98,NaN,0.5358333333333334,0.5374999999999999,0.4364285714285714
99,NaN,0.85,0.4175000000000001,0.40666666666666673
100,NaN,0.3,0.3,0.15999999999999998
