video,Jacc_sim_online,avg_dist_online,Jacc_sim_retrospective,avg_dist_retro,Jacc_sim_lesioned,avg_dist_lesioned
38,1.0,0.41225377917483297,1.0,0.3130238840707401,0.5,0.07987977342080178
39,1.0,0.04048390740435546,1.0,0.047734443966718165,1.0,0.07638887909558471
40,1.0,0.42811684125213845,1.0,0.40370075085375984,1.0,0.5313043608181877
41,1.0,0.3979559410172704,1.0,0.41477229509027796,0.3333333333333333,0.34535090547456027
42,0.6666666666666666,0.47453677567711505,0.6666666666666666,0.392365160522992,0.3333333333333333,0.5994546586311625
43,1.0,0.42528689165689515,1.0,0.44223254826876435,0.5,0.4067314391787035
44,0.2,1.9705854462678984,0.2,1.7367912623310293,0.3333333333333333,2.2695334088942967
45,0.5,0.4130931262126295,0.5,0.4707233408905126,0.5,0.3191863568391864
46,0.5,0.6188493125355448,0.5,1.6330781879894634,0.3333333333333333,0.5101476786960153
47,1.0,0.2878254213144499,1.0,0.3114872924059207,0.5,0.3061782634510217
48,1.0,0.08802168710393563,1.0,0.12704912373636365,1.0,0.08145575705105752
49,0.5,0.13097312385049042,0.5,0.15549022549850797,0.5,0.1173670124318954
50,0.5,0.1627267480838622,0.5,0.24095755498335805,0.5,0.29707874953234426
51,NaN,NaN,0.5,0.2719635543522009,0.5,0.31281169995310537
52,NaN,NaN,1.0,0.3002016184794908,0.5,0.5694487862950807
53,NaN,NaN,1.0,0.10530509074092044,1.0,0.21289247008139073
54,NaN,NaN,1.0,0.8026039335736971,0.5,0.2123115901246544
55,NaN,NaN,1.0,0.18001282231061697,0.5,0.205001399473168
56,NaN,NaN,0.0,NaN,1.0,0.4078083327604306
57,NaN,NaN,0.3333333333333333,0.3415106881201992,0.5,0.11981906419975487
58,NaN,NaN,0.6666666666666666,0.44010191713883434,0.3333333333333333,0.09254132987394957
59,NaN,NaN,0.0,NaN,0.0,NaN
60,NaN,NaN,1.0,0.37859152026424425,0.5,0.3127364938242611
61,NaN,NaN,1.0,0.3606058524495939,0.5,0.08027128532598887
62,NaN,NaN,0.6666666666666666,0.4109332708469269,0.3333333333333333,0.3455046406421307
63,NaN,NaN,0.0,NaN,0.0,NaN
64,NaN,NaN,1.0,0.11131544489639472,1.0,0.11758949867622605
65,NaN,NaN,1.0,0.27797258517169837,0.3333333333333333,0.2637999997398299
66,NaN,NaN,0.5,0.662333040646506,0.3333333333333333,0.33202873676314754
67,NaN,NaN,1.0,0.265323627007634,0.5,0.12312936758861726
68,NaN,NaN,0.3333333333333333,0.6339878516893367,0.5,0.15742824036180197
69,NaN,NaN,1.0,0.13824188785306032,1.0,0.14832162695591405
70,NaN,NaN,0.5,0.3573847004002437,0.3333333333333333,0.12616678078519233
71,NaN,NaN,0.6666666666666666,0.3450559686123588,0.3333333333333333,0.11492670483076525
72,NaN,NaN,1.0,0.614621118635165,0.3333333333333333,0.3535117494123494
73,NaN,NaN,0.5,0.1486406541133547,0.5,0.19611577106244618
74,NaN,NaN,0.3333333333333333,0.8791749134783845,0.5,0.18547251402957438
75,NaN,NaN,0.5,0.3080669056370848,0.5,0.2052719924718293
76,NaN,NaN,0.5,0.5933283675697374,0.3333333333333333,0.5157488397845147
77,NaN,NaN,0.3333333333333333,0.6872856913746641,0.5,0.3229259269847805
78,NaN,NaN,0.6666666666666666,0.2237854031338041,0.3333333333333333,0.027831559138123286
79,NaN,NaN,0.6666666666666666,0.3113716070870507,0.3333333333333333,0.32870283784551163
80,NaN,NaN,0.3333333333333333,0.4678875329091605,0.5,0.4426278337657411
81,NaN,NaN,1.0,0.3230274072937893,0.5,0.3735123672645105
82,NaN,NaN,0.3333333333333333,1.5024636674670275,0.5,0.45028458576024466
83,NaN,NaN,0.5,0.2726543937115052,0.3333333333333333,0.1928466456132532
84,NaN,NaN,0.6666666666666666,0.26302296580321377,0.3333333333333333,0.3271902702679745
85,NaN,NaN,0.0,NaN,0.0,NaN
86,NaN,NaN,1.0,0.42492179582169753,0.5,0.5485094148439571
87,NaN,NaN,0.6666666666666666,0.24519157898741104,0.3333333333333333,0.24511535823885072
88,NaN,NaN,0.5,0.285742676382784,0.5,0.1879476346919312
89,NaN,NaN,1.0,0.38985743774907894,0.5,0.3620977304062077
90,NaN,NaN,0.3333333333333333,0.5130722470989347,0.5,0.18875792990886378
91,NaN,NaN,0.6666666666666666,0.349819825465659,0.3333333333333333,0.09059480618855023
92,NaN,NaN,0.5,0.3745128936368243,0.5,0.1735807732276606
93,NaN,NaN,1.0,0.2270334146572589,0.5,0.8333573731546322
94,NaN,NaN,0.5,0.25682862379530286,0.5,0.5802815454200634
95,NaN,NaN,1.0,0.5543301770200217,1.0,0.39523138468911856
96,NaN,NaN,0.6666666666666666,0.25389494644757904,0.3333333333333333,0.39004890049946256
97,NaN,NaN,1.0,0.2853065745883926,1.0,0.3364036062097104
98,NaN,NaN,1.0,0.21172136827850285,1.0,0.5445428547044021
99,NaN,NaN,0.5,0.355936373363138,0.3333333333333333,0.3806176630901314
100,NaN,NaN,1.0,0.27252370907317414,1.0,1.0748376505185933
